Code,Occupation,Proximity_Rating,Exposure_Rating
53-3033.00,Light Truck or Delivery Services Drivers,67,13
27-1026.00,Merchandise Displayers and Window Trimmers,67,2
41-2022.00,Parts Salespersons,67,0
29-1066.00,Psychiatrists,67,70
41-3031.03,Securities and Commodities Traders,67,0
47-2211.00,Sheet Metal Workers,67,10
53-4041.00,Subway and Streetcar Operators,67,43
27-2012.05,Technical Directors/Managers,67,1
47-2053.00,Terrazzo Workers and Finishers,67,7
53-2022.00,Airfield Operations Specialists,66,24
49-2091.00,Avionics Technicians,66,3
35-2015.00,"Cooks, Short Order",66,7
17-3029.03,Electromechanical Engineering Technologists,66,6
47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",66,4
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",66,17
13-1074.00,Farm Labor Contractors,66,1
45-1011.06,First-Line Supervisors of Aquacultural Workers,66,14
41-1011.00,First-Line Supervisors of Retail Sales Workers,66,10
53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,66,16
11-9039.02,Fitness and Wellness Coordinators,66,14
53-7071.00,Gas Compressor and Gas Pumping Station Operators,66,4
49-9021.01,Heating and Air Conditioning Mechanics and Installers,66,15
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",66,9
27-3091.00,Interpreters and Translators,66,56
39-2021.00,Nonfarm Animal Caretakers,66,64
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",66,62
51-8012.00,Power Distributors and Dispatchers,66,1
51-2092.00,Team Assemblers,66,0
49-9064.00,Watch Repairers,66,1
49-3091.00,Bicycle Repairers,65,0
27-3021.00,Broadcast News Analysts,65,10
43-5011.00,Cargo and Freight Agents,65,4
39-6012.00,Concierges,65,7
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",65,19
35-2011.00,"Cooks, Fast Food",65,11
29-2051.00,Dietetic Technicians,65,61
53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",65,2
51-1011.00,First-Line Supervisors of Production and Operating Workers,65,1
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",65,1
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",65,4
29-2012.00,Medical and Clinical Laboratory Technicians,65,77
29-9011.00,Occupational Health and Safety Specialists,65,18
49-3043.00,Rail Car Repairers,65,3
49-3093.00,Tire Repairers and Changers,65,16
23-1022.00,"Arbitrators, Mediators, and Conciliators",64,3
51-8091.00,Chemical Plant and System Operators,64,8
15-1151.00,Computer User Support Specialists,64,8
47-4011.00,Construction and Building Inspectors,64,11
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",64,36
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",64,2
47-4021.00,Elevator Installers and Repairers,64,50
39-4011.00,Embalmers,64,83
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",64,38
21-1091.00,Health Educators,64,50
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",64,3
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",64,13
41-9012.00,Models,64,1
49-3051.00,Motorboat Mechanics and Service Technicians,64,18
17-3029.12,Nanotechnology Engineering Technicians,64,6
43-9061.00,"Office Clerks, General",64,28
47-2141.00,"Painters, Construction and Maintenance",64,4
51-4062.00,"Patternmakers, Metal and Plastic",64,1
27-2012.01,Producers,64,2
49-9052.00,Telecommunications Line Installers and Repairers,64,34
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",64,5
47-2044.00,Tile and Marble Setters,64,12
19-3091.02,Archeologists,63,11
17-3027.01,Automotive Engineering Technicians,63,3
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",63,5
29-2011.01,Cytogenetic Technologists,63,83
35-9021.00,Dishwashers,63,30
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",63,4
29-2011.03,Histotechnologists and Histologic Technicians,63,75
11-9013.01,Nursery and Greenhouse Managers,63,4
51-9083.00,Ophthalmic Laboratory Technicians,63,29
43-5081.04,"Order Fillers, Wholesale and Retail Sales",63,15
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",63,5
49-2021.01,Radio Mechanics,63,5
29-1069.10,Radiologists,63,85
53-4031.00,Railroad Conductors and Yardmasters,63,15
49-2098.00,Security and Fire Alarm Systems Installers,63,20
47-4091.00,Segmental Pavers,63,8
43-2011.00,"Switchboard Operators, Including Answering Service",63,30
51-6052.00,"Tailors, Dressmakers, and Custom Sewers",63,12
39-2011.00,Animal Trainers,62,18
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,62,9
19-3031.02,Clinical Psychologists,62,57
43-4031.01,Court Clerks,62,13
17-3024.00,Electro-Mechanical Technicians,62,12
47-2043.00,Floor Sanders and Finishers,62,1
47-3016.00,Helpers--Roofers,62,5
25-4031.00,Library Technicians,62,16
49-9094.00,Locksmiths and Safe Repairers,62,10
19-4099.01,Quality Control Analysts,62,10
27-4013.00,Radio Operators,62,21
39-9041.00,Residential Advisors,62,24
51-6031.00,Sewing Machine Operators,62,0
53-7121.00,"Tank Car, Truck, and Ship Loaders",62,3
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",62,22
51-6093.00,Upholsterers,62,2
23-2091.00,Court Reporters,61,13
47-2081.00,Drywall and Ceiling Tile Installers,61,6
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",61,14
25-1191.00,Graduate Teaching Assistants,61,6
51-9022.00,"Grinding and Polishing Workers, Hand",61,3
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",61,3
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",61,3
41-3021.00,Insurance Sales Agents,61,10
17-2199.05,Mechatronics Engineers,61,1
19-1022.00,Microbiologists,61,82
51-9195.07,Molding and Casting Workers,61,4
27-2041.01,Music Directors,61,17
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",61,3
47-2161.00,Plasterers and Stucco Masons,61,6
51-9071.07,Precious Metal Workers,61,0
51-6042.00,Shoe Machine Operators and Tenders,61,1
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",60,9
27-4011.00,Audio and Video Equipment Technicians,60,5
53-6031.00,Automotive and Watercraft Service Attendants,60,4
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",60,26
17-3023.03,Electrical Engineering Technicians,60,2
33-2021.01,Fire Inspectors,60,35
43-5011.01,Freight Forwarders,60,1
11-9061.00,Funeral Service Managers,60,56
15-1121.01,Informatics Nurse Specialists,60,47
51-9071.01,Jewelers,60,0
17-3027.00,Mechanical Engineering Technicians,60,3
17-3029.01,Non-Destructive Testing Specialists,60,4
47-2152.02,Plumbers,60,58
43-5031.00,"Police, Fire, and Ambulance Dispatchers",60,11
21-1015.00,Rehabilitation Counselors,60,26
51-9141.00,Semiconductor Processors,60,0
47-4099.02,Solar Thermal Installers and Technicians,60,2
51-8021.00,Stationary Engineers and Boiler Operators,60,26
51-2041.00,Structural Metal Fabricators and Fitters,60,6
27-1011.00,Art Directors,59,0
27-2021.00,Athletes and Sports Competitors,59,6
25-9011.00,Audio-Visual and Multimedia Collections Specialists,59,5
43-9111.01,Bioinformatics Technicians,59,11
47-2041.00,Carpet Installers,59,14
47-5041.00,Continuous Mining Machine Operators,59,6
51-2022.00,Electrical and Electronic Equipment Assemblers,59,3
51-2023.00,Electromechanical Equipment Assemblers,59,7
13-1199.01,Energy Auditors,59,11
53-6051.08,Freight and Cargo Inspectors,59,8
47-2132.00,"Insulation Workers, Mechanical",59,24
53-7033.00,"Loading Machine Operators, Underground Mining",59,4
43-4141.00,New Accounts Clerks,59,17
51-9111.00,Packaging and Filling Machine Operators and Tenders,59,4
51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",59,3
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",59,18
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",59,1
13-1151.00,Training and Development Specialists,59,2
37-3013.00,Tree Trimmers and Pruners,59,1
17-2199.02,Validation Engineers,59,5
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",58,37
13-2021.01,Assessors,58,0
19-4031.00,Chemical Technicians,58,8
51-2021.00,"Coil Winders, Tapers, and Finishers",58,2
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",58,7
43-4051.00,Customer Service Representatives,58,5
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",58,9
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",58,3
49-9093.00,"Fabric Menders, Except Garment",58,26
53-7041.00,Hoist and Winch Operators,58,0
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",58,2
13-1081.00,Logisticians,58,8
11-9199.08,Loss Prevention Managers,58,16
17-2121.02,Marine Architects,58,3
21-1013.00,Marriage and Family Therapists,58,30
25-1022.00,"Mathematical Science Teachers, Postsecondary",58,15
17-2141.00,Mechanical Engineers,58,7
21-1014.00,Mental Health Counselors,58,36
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",58,13
51-9123.00,"Painting, Coating, and Decorating Workers",58,1
51-9151.00,Photographic Process Workers and Processing Machine Operators,58,41
51-9199.01,Recycling and Reclamation Workers,58,23
43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",58,2
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",58,1
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",58,10
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",57,30
51-8099.03,Biomass Plant Technicians,57,5
19-2031.00,Chemists,57,23
17-3022.00,Civil Engineering Technicians,57,22
51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",57,1
