Code,Occupation,Proximity_Rating,Exposure_Rating
53-2022.00,Airfield Operations Specialists,66,24
39-9041.00,Residential Advisors,62,24
47-2132.00,"Insulation Workers, Mechanical",59,24
29-2071.00,Medical Records and Health Information Technicians,50,24
19-1021.00,Biochemists and Biophysicists,41,24
25-2023.00,"Career/Technical Education Teachers, Middle School",78,23
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",76,23
33-1021.02,Forest Fire Fighting and Prevention Supervisors,73,23
43-4111.00,"Interviewers, Except Eligibility and Loan",73,23
51-9199.01,Recycling and Reclamation Workers,58,23
19-2031.00,Chemists,57,23
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",48,23
11-3011.00,Administrative Services Managers,45,23
17-2081.01,Water/Wastewater Engineers,40,23
19-1041.00,Epidemiologists,38,23
39-9031.00,Fitness Trainers and Aerobics Instructors,83,22
45-3011.00,Fishers and Related Fishing Workers,70,22
53-5021.01,Ship and Boat Captains,69,22
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",62,22
17-3022.00,Civil Engineering Technicians,57,22
43-9022.00,Word Processors and Typists,47,22
27-2031.00,Dancers,98,21
49-9045.00,"Refractory Materials Repairers, Except Brickmasons",80,21
47-2152.01,Pipe Fitters and Steamfitters,73,21
27-4013.00,Radio Operators,62,21
11-9032.00,"Education Administrators, Elementary and Secondary School",52,21
31-9094.00,Medical Transcriptionists,42,21
11-9033.00,"Education Administrators, Postsecondary",38,21
39-5091.00,"Makeup Artists, Theatrical and Performance",86,20
43-5081.01,"Stock Clerks, Sales Floor",84,20
47-4099.03,Weatherization Installers and Technicians,68,20
49-2098.00,Security and Fire Alarm Systems Installers,63,20
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",57,20
49-3041.00,Farm Equipment Mechanics and Service Technicians,53,20
25-1053.00,"Environmental Science Teachers, Postsecondary",49,20
39-1011.00,Gaming Supervisors,84,19
